118,Antigua and Bar,buda,12.1
119,Tunisia,,12.1
120,British Virgin,Islands,12.1
121,Saint Vincent a,nd the Grenadines,12
122,China,,12
123,Moldova,,12
124,Albania,,11.9
125,Mexico,,11.6
126,Tonga,,11.3
127,"Bahamas, The",,11.3
128,American Samoa,,11.3
129,Saint Lucia,,10.9
130,Libya,,10.8
131,Aruba,,10.7
132,Dominica,,10.6
133,Palau,,10.6
134,Barbados,,10.2
135,Turks and Caico,s Islands,10.1
136,Seychelles,,10
137,United Arab Emi,rates,10
138,Panama,,9.9
139,Argentina,,9.8
140,Mauritius,,9.8
141,Grenada,,9.7
142,Brunei,,9.6
143,Fiji,,9.5
144,Romania,,9.4
145,Croatia,,9.3
146,Thailand,,9.2
147,Bahrain,,8.9
148,Greenland,,8.9
149,Bulgaria,,8.4
150,Sri Lanka,,8.4
151,Saint Kitts and,Nevis,8.4
152,Uruguay,,8.3
153,Sint Maarten,,8.1
154,Costa Rica,,8
155,Cyprus,,7.9
156,Virgin Islands,,7.9
157,Nauru,,7.8
158,Ukraine,,7.8
159,Curacao,,7.5
160,Macedonia,,7.4
161,Lebanon,,7.4
162,Kuwait,,7
163,Russia,,6.8
164,Chile,,6.6
165,Saint Pierre an,d Miquelon,6.5
166,Puerto Rico,,6.4
167,Qatar,,6.2
168,Cayman Islands,,5.9
169,Gibraltar,,5.9
170,United States,,5.8
171,Serbia,,5.8
172,Bosnia and Herz,egovina,5.5
173,Faroe Islands,,5.4
174,New Caledonia,,5.2
175,Latvia,,5.2
176,Slovakia,,5.1
177,Hungary,,4.9
178,French Polynesi,a,4.6
179,Greece,,4.6
180,Canada,,4.5
181,Cuba,,4.4
182,Poland,,4.4
183,New Zealand,,4.4
184,Australia,,4.3
185,United Kingdom,,4.3
186,Wallis and Futu,na,4.3
187,Taiwan,,4.3
188,San Marino,,4.3
189,Portugal,,4.3
190,Liechtenstein,,4.2
191,Denmark,,4
192,European Union,,4
193,Isle of Man,,4
194,Slovenia,,3.9
195,Jersey,,3.8
196,Estonia,,3.8
197,Lithuania,,3.8
198,Ireland,,3.6
199,Andorra,,3.6
200,Belarus,,3.6
201,Netherlands,,3.6
202,Switzerland,,3.6
203,Malta,,3.5
204,Israel,,3.4
205,Germany,,3.4
206,Guernsey,,3.4
207,Belgium,,3.4
208,Austria,,3.4
209,Luxembourg,,3.4
210,Italy,,3.3
211,Anguilla,,3.3
212,Spain,,3.3
213,France,,3.2
214,Macau,,3.1
215,"Korea, South",,3
216,Hong Kong,,2.7
217,Czechia,,2.6
218,Sweden,,2.6
219,Bermuda,,2.5
220,Finland,,2.5
221,Norway,,2.5
222,Singapore,,2.4
223,Iceland,,2.1
224,Japan,,2
225,Monaco,,1.8
